rank_by_rho,symbol,ensembl_gene_id,spearman_rho,p_value_unadjusted,fdr_BH_key_feature_space,status
1,Myh7,ENSMUSG00000053093,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,Significant positive
2,2310043L19Rik,ENSMUSG00000101746,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,4933403O08Rik,ENSMUSG00000079460,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Calr4,ENSMUSG00000028558,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Crybg2,ENSMUSG00000012123,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Fibin,ENSMUSG00000074971,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Fn3k,ENSMUSG00000025175,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Gm45194,ENSMUSG00000109156,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Hfe2,ENSMUSG00000038403,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Myh2,ENSMUSG00000033196,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Myom1,ENSMUSG00000024049,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Pgm5,ENSMUSG00000041731,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Rbm24,ENSMUSG00000038132,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Tecrl,ENSMUSG00000049537,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Tnnc1,ENSMUSG00000091898,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Txlnb,ENSMUSG00000039891,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
2,Unc45b,ENSMUSG00000018845,0.983333333333333,0.00000193619630374592,0.00107962421773942,Significant positive
18,Actn2,ENSMUSG00000052374,0.979088068244196,0.0000042663223508164,0.001578012563339,Significant positive
18,Arx,ENSMUSG00000035277,0.979088068244196,0.0000042663223508164,0.001578012563339,Significant positive
18,Sec14l5,ENSMUSG00000091712,0.979088068244196,0.0000042663223508164,0.001578012563339,Significant positive
18,Yipf7,ENSMUSG00000029158,0.979088068244196,0.0000042663223508164,0.001578012563339,Significant positive
22,5430431A17Rik,ENSMUSG00000108322,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Ablim2,ENSMUSG00000029095,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Ablim3,ENSMUSG00000032735,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Aknad1,ENSMUSG00000049565,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Aldh3b1,ENSMUSG00000024885,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Apobec2,ENSMUSG00000040694,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Atp2a1,ENSMUSG00000030730,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Cap2,ENSMUSG00000021373,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Cbfa2t3,ENSMUSG00000006362,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Chrng,ENSMUSG00000026253,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Ckm,ENSMUSG00000030399,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Clic5,ENSMUSG00000023959,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Cxcl13,ENSMUSG00000023078,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Dusp27,ENSMUSG00000026564,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Exoc3l,ENSMUSG00000043251,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Fbxl22,ENSMUSG00000050503,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Fgfbp1,ENSMUSG00000048373,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Gm28653,ENSMUSG00000099906,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Gm32914,ENSMUSG00000108161,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Gramd1b,ENSMUSG00000040111,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Hephl1,ENSMUSG00000031936,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Hhatl,ENSMUSG00000032523,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Hrc,ENSMUSG00000038239,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Iffo1,ENSMUSG00000038271,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Klhl41,ENSMUSG00000075307,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Lmod3,ENSMUSG00000044086,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Mybph,ENSMUSG00000042451,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Myh3,ENSMUSG00000020908,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Myl1,ENSMUSG00000061816,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Mylk4,ENSMUSG00000044951,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Mylpf,ENSMUSG00000030672,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Myom2,ENSMUSG00000031461,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Myom3,ENSMUSG00000037139,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Mypn,ENSMUSG00000020067,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Neb,ENSMUSG00000026950,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Obscn,ENSMUSG00000061462,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Otog,ENSMUSG00000009487,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Ppfia4,ENSMUSG00000026458,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Sbk2,ENSMUSG00000030433,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Scn10a,ENSMUSG00000034533,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Scn4a,ENSMUSG00000001027,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Scn7a,ENSMUSG00000034810,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Setbp1,ENSMUSG00000024548,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Sgcg,ENSMUSG00000035296,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Smpx,ENSMUSG00000041476,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Srl,ENSMUSG00000022519,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Tmem38a,ENSMUSG00000031791,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Tnni2,ENSMUSG00000031097,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Tnnt3,ENSMUSG00000061723,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
22,Usp2,ENSMUSG00000032010,0.966666666666667,0.0000215503127483578,0.00279194748306962,Significant positive
72,Adora1,ENSMUSG00000042429,0.966240492659655,0.0000225207156789661,0.00279194748306962,Significant positive
72,Chil1,ENSMUSG00000064246,0.966240492659655,0.0000225207156789661,0.00279194748306962,Significant positive
72,Ctxn3,ENSMUSG00000069372,0.966240492659655,0.0000225207156789661,0.00279194748306962,Significant positive
72,Gm14635,ENSMUSG00000087591,0.966240492659655,0.0000225207156789661,0.00279194748306962,Significant positive
72,Gm44220,ENSMUSG00000107655,0.966240492659655,0.0000225207156789661,0.00279194748306962,Significant positive
72,Mybpc2,ENSMUSG00000038670,0.966240492659655,0.0000225207156789661,0.00279194748306962,Significant positive
78,ENSMUSG00000117901,ENSMUSG00000117901,0.962351520069081,0.000032858564597695,0.00385049255024879,Significant positive
79,ENSMUSG00000117916,ENSMUSG00000117916,0.957427107756338,0.0000502792784134469,0.0056347899548636,Significant positive
79,Rhox10,ENSMUSG00000053909,0.957427107756338,0.0000502792784134469,0.0056347899548636,Significant positive
79,Ripply1,ENSMUSG00000072945,0.957427107756338,0.0000502792784134469,0.0056347899548636,Significant positive
79,Scn3a,ENSMUSG00000057182,0.957427107756338,0.0000502792784134469,0.0056347899548636,Significant positive
79,Tekt5,ENSMUSG00000039179,0.957427107756338,0.0000502792784134469,0.0056347899548636,Significant positive
84,Adora2b,ENSMUSG00000018500,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
84,Csrp3,ENSMUSG00000030470,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
84,Gm26801,ENSMUSG00000097892,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
84,Mamdc2,ENSMUSG00000033207,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
84,Map3k19,ENSMUSG00000051590,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
84,Plekha7,ENSMUSG00000045659,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
84,Rhbdl2,ENSMUSG00000043333,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
84,Syn2,ENSMUSG00000009394,0.95,0.0000876252396508624,0.00654191495381655,Significant positive
