association,rank_within_direction,ensembl_gene_id,symbol,spearman_rho,p_value,BH_FDR,RNA_direction,RNA_average_post_log2FC,RNA_average_post_FDR
Positive,1,ENSMUSG00000053093,Myh7,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,lower,-1.75083874727612,0.0000000000119625489913443
Positive,2,ENSMUSG00000101746,2310043L19Rik,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.63510732877922,0.000000343118796556514
Positive,2,ENSMUSG00000079460,4933403O08Rik,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.79233061266532,0.000000057683438439729
Positive,2,ENSMUSG00000028558,Calr4,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.68427311845697,0.0000000124377399092672
Positive,2,ENSMUSG00000012123,Crybg2,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-2.06840669577079,0.00000000126726352694581
Positive,2,ENSMUSG00000074971,Fibin,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.75252066632259,0.00000000047719541908341
Positive,2,ENSMUSG00000025175,Fn3k,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.67390026620602,0.000000178119359491896
Positive,2,ENSMUSG00000109156,Gm45194,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.49055457514426,0.0000307815124406078
Positive,2,ENSMUSG00000038403,Hfe2,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-2.49055537319956,0.0000000000373154800753488
Positive,2,ENSMUSG00000033196,Myh2,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.7098662621467,0.00000444842753692232
Positive,2,ENSMUSG00000024049,Myom1,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.88808225065593,0.00000000000381331293999762
Positive,2,ENSMUSG00000041731,Pgm5,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-2.46713241024853,0.00000000000000000596712839510443
Positive,2,ENSMUSG00000038132,Rbm24,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-2.10323361917252,0.00000017925730229868
Positive,2,ENSMUSG00000049537,Tecrl,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.93783055930232,0.0000000000000578780998199664
Positive,2,ENSMUSG00000091898,Tnnc1,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.79789323113405,0.000000000000000000000000000000391390518658196
Positive,2,ENSMUSG00000039891,Txlnb,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-1.09530219289817,0.00000000000246902284539927
Positive,2,ENSMUSG00000018845,Unc45b,0.983333333333333,0.00000193619630374592,0.00107962421773942,lower,-2.53722720754346,0.000000000000000000648452914341937
Positive,18,ENSMUSG00000052374,Actn2,0.979088068244196,0.0000042663223508164,0.001578012563339,lower,-2.91948501862157,0.00000000000000796163346517854
Positive,18,ENSMUSG00000035277,Arx,0.979088068244196,0.0000042663223508164,0.001578012563339,lower,-1.08487239955028,0.000300296342560499
Positive,18,ENSMUSG00000091712,Sec14l5,0.979088068244196,0.0000042663223508164,0.001578012563339,lower,-1.71783811047758,0.00000166978519664807
Positive,18,ENSMUSG00000029158,Yipf7,0.979088068244196,0.0000042663223508164,0.001578012563339,lower,-1.33241217562358,0.0000327319463215251
