ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
ENSMUSG00000040152,Thbs1,higher,1.58957862629874,0.0000000000000000000000000000000000000000000000000000000000000000000000105008833078236,14.8178269713722,14.6729676238112,16.609734194931,16.4145595403763,16.5325425750821,17.3133993627284,17.4964050848799,17.4178936180851,17.9602700643866
ENSMUSG00000027559,Car3,higher,3.25565199422609,0.00000000000000000000000000000000000000000000000000000000000000000347090913958549,6.95607595287235,9.62654863255267,7.86191884427125,8.02244228986843,11.8471627813955,10.2089606999499,10.0381874756741,13.1831444336472,12.2593216916799
ENSMUSG00000021803,Cdhr1,higher,3.64168206173403,0.000000000000000000000000000000000000000000000000000000000000000471334942538119,7.04274848782137,7.7521095551762,7.09273406293296,9.51129514784711,10.9168698836852,8.93556814089841,10.5156105867376,11.6948209631189,11.2183363012434
ENSMUSG00000047139,Cd24a,higher,3.88622204708571,0.000000000000000000000000000000000000000000000000000000000000000799175347550371,7.99489006627912,6.89424401648294,6.31468434895056,10.3068824622027,10.388544020619,8.26383432081799,11.544366266835,11.8294151961079,10.1290927573527
ENSMUSG00000026185,Igfbp5,lower,-1.42083232551627,0.00000000000000000000000000000000000000000000000000000000000000139346603211572,13.4005962918852,16.0907925557079,16.4508730482148,12.5849722711017,14.6865900195436,16.1304261941712,11.1614963257069,13.3950099724499,15.0588989989907
ENSMUSG00000001119,Col6a1,higher,1.65755521472228,0.00000000000000000000000000000000000000000000000000000000000000169624323064687,9.88689268413304,12.040878397006,13.2584895500454,11.6956808243927,13.5475418743696,14.3473044519713,12.7239962745648,14.0880035940844,15.2496591186075
ENSMUSG00000029661,Col1a2,higher,1.1531455039159,0.00000000000000000000000000000000000000000000000000000000000000327071952408859,14.0664755729662,14.6349268299098,14.5330475767251,14.979109342788,15.4090998915133,15.2802410860511,15.6850656674337,15.9685035314156,16.2035373542691
ENSMUSG00000026042,Col5a2,higher,1.14303039925605,0.00000000000000000000000000000000000000000000000000000000000000488864767068851,13.6978880126832,13.8073538949163,14.6207241691796,14.9384728015716,14.7988556597718,15.4370354520423,15.7020606793484,15.3518210780118,15.9082672259704
ENSMUSG00000032332,Col12a1,higher,2.38796824767989,0.0000000000000000000000000000000000000000000000000000000000000402833367735725,11.2756192385516,12.3093353818188,14.5815212837211,13.6127744985472,14.4794656116506,16.0425996764187,14.5552055922912,15.3323441030266,17.1172325390641
ENSMUSG00000031596,Slc7a2,higher,2.23338944286155,0.000000000000000000000000000000000000000000000000000000000000943259583689267,7.5461390187408,8.35959951634297,10.703764308551,9.3163203942772,10.5520278560196,12.1461653053792,10.1966342612962,11.5533223121158,13.077535733541
ENSMUSG00000058297,Spock2,higher,1.97172735453425,0.00000000000000000000000000000000000000000000000000000000000579756277209577,8.7675691487738,8.95473350686982,9.78818180652207,10.6500227683721,11.032587721467,10.6734644015056,11.4625686111577,11.759621349095,11.4083107539785
ENSMUSG00000070867,Trabd2b,higher,2.70613952043215,0.0000000000000000000000000000000000000000000000000000000000111028119698485,8.07611857370678,6.62529415756874,9.846409428869,8.49890001069956,9.02418205336853,11.2306887126101,10.2771661725216,10.3620984503264,12.1658000690205
ENSMUSG00000020473,Aebp1,higher,1.40216115139485,0.0000000000000000000000000000000000000000000000000000000000585252720596292,11.1681840862605,11.7231012674791,13.5523722099673,12.7380252883765,13.102695170698,14.4786471426841,13.3474632194833,13.5171185394015,14.8672864795698
ENSMUSG00000068196,Col8a1,higher,1.60661963457265,0.0000000000000000000000000000000000000000000000000000000000991161911179621,11.1350388111162,10.8279580426568,11.7857921606264,10.7054999797269,11.9205518294855,12.962946836977,11.0462034959601,12.3218367258196,13.8695094999348
ENSMUSG00000045441,Gprin3,higher,2.08230962328539,0.000000000000000000000000000000000000000000000000000000000170006748141853,6.89462318702503,8.53819019106886,10.2437159190425,9.53782000992101,10.5125376964223,11.6488033433974,11.0485709792301,11.6656168134018,12.3275916489957
ENSMUSG00000044033,Ccdc141,lower,-1.90220977419679,0.000000000000000000000000000000000000000000000000000000000170006748141853,9.42282239939624,12.775028906297,12.8689311103868,8.05265475527043,11.1567806259309,12.4038028368001,7.02248756176264,9.29843926763998,11.6698434367295
ENSMUSG00000004317,Clcn5,lower,-1.43778461389658,0.000000000000000000000000000000000000000000000000000000000204589724277789,12.6520955633252,13.5139580691687,12.4654791796661,11.8860342660479,12.2549619168732,11.8602200792,11.3450772064599,11.369918836165,11.1322942409724
ENSMUSG00000020241,Col6a2,higher,1.56813875903353,0.000000000000000000000000000000000000000000000000000000000282188046028741,8.84913611929879,11.0843387687193,12.8950158900429,10.7311454446438,12.6186367984919,13.7772626356981,11.8726638951073,13.1647316961007,14.5805894826934
ENSMUSG00000031561,Tenm3,higher,1.32712204306696,0.000000000000000000000000000000000000000000000000000000000311068070689047,11.0489623127825,11.2939436202239,12.3248384943159,12.2505320266847,13.0458658491728,12.9650628636189,12.3918165829901,13.0728140793619,13.1864747154915
ENSMUSG00000016918,Sulf1,lower,-2.0202013317488,0.000000000000000000000000000000000000000000000000000000000635123616014102,10.8292065589333,11.5635633871379,12.2060812003081,9.69156577704704,10.358049900545,10.9731172329833,8.05780679885614,8.70901756540094,9.24747734694465
ENSMUSG00000054555,Adam12,higher,1.92860740822533,0.000000000000000000000000000000000000000000000000000000000954480290930922,9.84721664912849,7.62521943990554,9.69229497741172,11.3652853073485,10.0199555826228,10.6008507075257,11.8482107817718,10.6126332765588,11.1525107652117
ENSMUSG00000019577,Pdk4,higher,2.08009231976543,0.00000000000000000000000000000000000000000000000000000000131088542860272,10.6007166475386,8.87202717151717,10.275558852424,11.3676142274729,11.2897682477288,11.0823163516877,12.0024325050693,11.438439074015,11.5663604121634
ENSMUSG00000032625,Thsd7a,higher,1.59437698994625,0.00000000000000000000000000000000000000000000000000000000131088542860272,9.02200387046557,10.1871875135194,11.7489354818642,10.3192031669624,12.0218303065774,12.7968974716502,10.8426398046314,12.1827000143294,13.1047400758561
ENSMUSG00000046743,Fat4,higher,2.13116638193423,0.00000000000000000000000000000000000000000000000000000000186394022160462,8.0602468174517,9.0060954416581,9.28958328530157,9.97631745262392,10.6233517015034,10.5532565768736,11.4959261585232,11.9781740684336,11.9325977081109
ENSMUSG00000024529,Lox,higher,1.16681303164949,0.00000000000000000000000000000000000000000000000000000000216136760653702,13.6929813092582,13.59030696378,13.4453177297241,14.6687490369233,14.6296460049501,13.8522717453889,15.293948074552,15.5106463907304,14.5419142696818
ENSMUSG00000027171,Prrg4,lower,-2.30670775103701,0.00000000000000000000000000000000000000000000000000000000669361322723054,12.0396121219462,11.6817223171324,10.1270619750967,10.4364121129589,10.1982133279732,8.72271140431224,8.60226333642769,8.72260900831379,6.63898036175145
ENSMUSG00000028780,Sema3c,lower,-2.49498144830192,0.0000000000000000000000000000000000000000000000000000000121778334751839,8.8909921582818,11.9215879768284,11.5811072280966,7.41198653486278,10.0368108348485,10.0944691485784,6.53841727716087,7.86698155100218,9.2066602824368
ENSMUSG00000062991,Nrg1,higher,2.03883491924685,0.0000000000000000000000000000000000000000000000000000000169737971097489,8.57990064621676,8.82988674180769,9.30693507027139,10.5062410535435,10.6768349969774,10.419764768563,11.4296555358336,11.6029074264425,11.3777690219842
ENSMUSG00000053580,Tanc2,lower,-1.52327601928147,0.0000000000000000000000000000000000000000000000000000000270631772512379,11.4475653537152,12.422346199563,12.381233859939,10.2116119725113,11.1702606132074,11.654814977197,9.18349681391087,10.0824932977477,10.3223745800984
ENSMUSG00000040209,Zfp704,lower,-2.14283234366814,0.0000000000000000000000000000000000000000000000000000000336607107316838,10.6937900348405,11.3387009772626,10.6195728521323,9.33223162432275,9.82064691262852,9.59563410085855,7.92015954535234,8.47111578507428,7.31825179950049
ENSMUSG00000028381,Ugcg,lower,-1.23419363001972,0.0000000000000000000000000000000000000000000000000000000451277290741128,13.9971934620335,14.0975560546812,14.0803375024518,13.2629140816978,13.1953353111185,13.5123285080201,12.7707097753557,12.2534298731479,12.6140998808326
