met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
MET862,5.69_846.8079n,864.8417069,5.693016667,"","","M+NH4, M+K","",higher,3.19832909399112,0.00000000000000256570804746406,4.55875111346795,4.55875111346795,5.48711549918025,4.55875111346795,4.55875111346795,10.2606835514571,4.55875111346795,4.55875111346795,11.3877903659515
MET483,2.66_551.5051m/z,551.5051399,2.66105,"","","","",higher,2.54475138284314,0.00000000000000589570056651193,3.02892427666697,3.02892427666697,7.79141583666063,3.02892427666697,3.36952836400955,10.3369550667453,3.95690841344872,6.14241485584492,10.5094499482243
MET612,3.04_796.6230m/z,796.6230276,3.036233333,"","","","",higher,2.49615297638977,0.00000000000000589570056651193,9.4450061719764,9.95955005421706,6.49152724053619,10.4476626990732,11.716596896762,10.0846464009469,11.5754370752718,11.0481249448824,10.8793065790203
MET706,3.47_786.6622n,787.6694549,3.474416667,SM009,22:0 SM (d18:1/22:0),"M+H, M+Na",C45H91N2O6P,higher,2.59059380527634,0.00000000000000808764944790551,4.51911911111494,7.16199353053054,11.4582759337671,2.46854047080405,9.96736397948022,12.5862424073967,7.74293896455155,10.9204365079152,12.8514915114077
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,1.99573329764855,3.44598788332082,12.3322422029274,1.99573329764855,1.99573329764855,10.8577595945662,1.99573329764855,1.99573329764855,10.285056551889
MET367,2.25_730.5386m/z,730.5385884,2.254233333,PC007,[PC 32:2] 16:1 (?9-Cis) PC,M+H,C40H76NO8P,lower,-1.35015568863827,0.0000000000000142209148262438,13.2436955012997,15.314261140115,15.4963948059153,9.31583011408873,14.0181484088771,14.0504811896351,12.9135433920004,14.7108711187533,13.4221421533181
MET397,2.35_756.5550m/z,756.5550327,2.350233333,PC009,[PC 32:0] 18:0-14:0 PC,M+Na,C40H80NO8P,lower,-1.78000821521116,0.0000000000000344708181339647,10.1179828712725,12.9109405234487,13.3831398824826,5.77833201731504,9.74332019388711,12.0118680371574,9.90608334457032,11.0040263781771,11.9037889885938
MET535,2.82_731.6056m/z,731.605616,2.8167,SM006,18:0 SM (d18:1/18:0),M+H,C41H83N2O6P,higher,3.27768874471399,0.0000000000000631540471227429,4.37797192712605,5.70458055207517,9.8443931217371,3.03511366573042,7.72110388985217,12.3623438861564,8.29140272070932,10.2770237329735,12.8924317304599
MET502,2.72_767.5812n,768.5884502,2.7245,PC040,"[PCe 36:4] PC(16:0e/20:4(5Z,8Z,11Z,14Z))","M+H, M+Na",C44H82NO7P,higher,0.911436455358855,0.0000000000111021361415349,13.6502924620657,13.6614291142248,10.9993381736016,14.9689048406257,14.4036901634813,12.6503014507431,14.671524426646,13.9818550876446,12.810300551346
MET081,0.83_522.3575m/z,522.3575382,0.825983333,LPC008,18:1 Lyso PC,M+H,C26H52NO7P,lower,-2.09130553417192,0.0000000000224268402790704,8.62460309231716,8.00481315974914,8.64879540116951,7.54443373653044,6.22153072376914,7.00436161816759,7.78259343172028,7.48847039047894,6.49652107811334
