met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,lipid_direction,lipid_average_post_log2FC,lipid_average_post_fdr,ensembl_gene_id,symbol,RNA_direction,RNA_average_post_log2FC,RNA_average_post_fdr,n_conditions,spearman_rho,p_value_unadjusted,fdr_BH_key_feature_space,absolute_spearman_rho,direction_relationship,leave_one_out_min_rho,leave_one_out_max_rho,leave_one_out_min_absolute_rho,leave_one_out_sign_consistent
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000075296,Aldh3b2,lower,-1.06848468127596,0.00724459379462946,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000087024,B230119M05Rik,lower,-1.10103721598151,0.00299548091208538,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000092397,C130080G10Rik,lower,-2.19115851861722,0.000000000187095054766862,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000047230,Cldn2,lower,-2.30164306750115,0.0000000000952086349292067,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000112778,Gm33677,lower,-1.05661209326267,0.00356337938684899,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000102051,I830127L07Rik,lower,-1.62926707537562,0.00000223820403911719,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000047485,Klhl34,lower,-1.48462692317381,0.000418816128743013,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000040569,Slc26a7,lower,-2.04325265117276,0.0000000898671438043632,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET119,1.37_464.3723n,487.3607773,1.37255,"","","M+H, M+Na","",lower,-1.59558450628403,0.0000000000000115614180721537,ENSMUSG00000048572,Tmem252,lower,-2.51854353496463,0.000000000000000624965166007221,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000022197,Pdzd2,higher,1.59060417462378,0.0000000000000000000312828696455483,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
