met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,lipid_direction,tested_genes,genes_abs_rho_ge_0_90,positive_genes_abs_rho_ge_0_90,negative_genes_abs_rho_ge_0_90,maximum_absolute_rho
MET119,1.37_464.3723n,487.3607773,1.37255,"","",lower,1498,245,241,4,1
MET706,3.47_786.6622n,787.6694549,3.474416667,SM009,22:0 SM (d18:1/22:0),higher,1498,214,169,45,0.983333333333333
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","",lower,1498,203,193,10,1
MET767,4.11_794.6248n,795.6319584,4.109116667,"","",lower,1498,203,193,10,1
MET765,4.11_197.0817m/z,197.0817225,4.109116667,"","",lower,1498,201,193,8,0.983333333333333
MET535,2.82_731.6056m/z,731.605616,2.8167,SM006,18:0 SM (d18:1/18:0),higher,1498,195,135,60,1
MET640,3.15_759.6401m/z,759.6401046,3.147533333,SM008,20:0 SM (d18:1/20:0),higher,1498,184,150,34,1
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","",higher,1498,180,152,28,0.99582461641931
MET107,1.12_388.3192n,411.3082142,1.116916667,"","",lower,1498,179,174,5,0.983192080250175
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","",higher,1498,178,153,25,1
MET634,3.13_785.6508m/z,785.6508237,3.127533333,"","",higher,1498,167,142,25,1
MET353,2.13_385.2743m/z,385.2743277,2.12665,"","",higher,1498,156,124,32,0.983333333333333
MET483,2.66_551.5051m/z,551.5051399,2.66105,"","",higher,1498,156,100,56,0.983192080250175
MET171,1.51_131.0713m/z,131.0712949,1.50795,"","",lower,1498,154,150,4,0.99582461641931
MET488,2.67_716.5498m/z,716.5497941,2.669083333,"","",lower,1498,144,138,6,0.983333333333333
MET696,3.45_812.6795n,813.6854458,3.454466667,SM011,"24:1 SM (d18:1/24:1)
",higher,1498,142,120,22,0.983333333333333
MET747,3.80_815.7015m/z,815.7014828,3.8015,SM010,24:0 SM (d18:1/24:0),higher,1498,142,120,22,0.983333333333333
MET505,2.74_341.3055m/z,341.3054898,2.74055,"","",higher,1498,130,99,31,0.99582461641931
MET733,3.65_802.6756m/z,802.6756067,3.654066667,"","",higher,1498,90,83,7,0.983333333333333
MET651,3.18_785.6557m/z,785.655709,3.179566667,"","",higher,1498,79,48,31,0.966666666666667
MET502,2.72_767.5812n,768.5884502,2.7245,PC040,"[PCe 36:4] PC(16:0e/20:4(5Z,8Z,11Z,14Z))",higher,1498,72,5,67,0.979088068244196
MET193,1.56_678.4726m/z,678.4726193,1.555966667,"","",higher,1498,71,64,7,0.979088068244196
MET368,2.25_752.5228m/z,752.5228166,2.254233333,PC007,[PC 32:2] 16:1 (?9-Cis) PC,lower,1498,69,61,8,0.99582461641931
MET075,0.75_496.3417m/z,496.3416763,0.753983333,LPC004,16:0 Lyso PC,lower,1498,66,6,60,0.966666666666667
MET096,0.98_446.2872n,485.3243881,0.977466667,"","",lower,1498,49,49,0,0.983192080250175
MET612,3.04_796.6230m/z,796.6230276,3.036233333,"","",higher,1498,27,15,12,0.983333333333333
MET647,3.17_770.5706m/z,770.5706338,3.171533333,PE014,[PE 36:0] 18:0 PE,lower,1498,24,24,0,0.970291833248679
MET397,2.35_756.5550m/z,756.5550327,2.350233333,PC009,[PC 32:0] 18:0-14:0 PC,lower,1498,23,22,1,0.983333333333333
MET413,2.44_743.5486n,744.5558876,2.43755,PE012,[PE 36:2] 18:1 (?9-Cis) PE,lower,1498,20,18,2,0.966666666666667
MET489,2.67_775.5480m/z,775.54798,2.665066667,PG006,18:0-18:2 PG,lower,1498,20,20,0,0.953983245981524
MET498,2.70_772.5847m/z,772.5846754,2.7012,"","",lower,1498,17,14,3,0.95
MET515,2.76_609.5269m/z,609.5268927,2.764616667,"","",lower,1498,14,14,0,0.966386554621849
MET367,2.25_730.5386m/z,730.5385884,2.254233333,PC007,[PC 32:2] 16:1 (?9-Cis) PC,lower,1498,13,11,2,0.95
MET416,2.45_756.5554m/z,756.5554113,2.453616667,PC009,[PC 32:0] 18:0-14:0 PC,lower,1498,13,12,1,0.933333333333333
MET435,2.52_729.5907m/z,729.5906633,2.521683333,SM007,18:1 SM (d18:1/18:1(9Z)),higher,1498,12,4,8,0.933333333333333
MET081,0.83_522.3575m/z,522.3575382,0.825983333,LPC008,18:1 Lyso PC,lower,1498,7,0,7,0.95
MET405,2.37_718.5392m/z,718.5392315,2.373516667,PE007,[PE 34:1] 16:0-18:1 PE,lower,1498,6,6,0,0.983333333333333
MET442,2.53_734.0560m/z,734.0560445,2.529716667,"","",lower,1498,5,4,1,0.966666666666667
MET364,2.22_704.5236m/z,704.5235648,2.2222,"","",lower,1498,5,4,1,0.95
MET493,2.68_810.6008m/z,810.6007991,2.681133333,PC027,[PC 38:4] 18:0-20:4 PC,lower,1498,4,0,4,0.95
MET398,2.35_806.5717m/z,806.5717468,2.346233333,PC026,[PC 38:6] 16:0-22:6 PC,lower,1498,3,1,2,0.966666666666667
MET094,0.97_508.3749m/z,508.3749454,0.96945,LPC020,PC(P-18:0/0:0),higher,1498,3,2,1,0.932337317478614
MET464,2.60_760.0995m/z,760.0995279,2.600983333,"","",lower,1498,3,2,1,0.916666666666667
MET652,3.20_759.6188n,798.640353,3.195533333,"","",higher,1498,3,3,0,0.9
MET450,2.56_759.8862m/z,759.886209,2.561033333,"","",lower,1498,2,1,1,0.916666666666667
MET451,2.56_760.0660m/z,760.0659926,2.561033333,"","",lower,1498,2,1,1,0.916666666666667
MET671,3.34_747.6154n,748.6226758,3.343016667,"","",higher,1498,1,1,0,0.983333333333333
MET491,2.68_742.5629m/z,742.5629062,2.681133333,"","",lower,1498,1,1,0,0.933333333333333
MET371,2.26_780.5566m/z,780.5566348,2.26225,PC012,[PC 34:2] 16:0-18:2 PC,lower,1498,1,0,1,0.916666666666667
MET271,1.73_57.0700m/z,57.0700134,1.72755,"","",higher,1498,1,0,1,0.915385729888094
MET192,1.56_339.2879m/z,339.2879062,1.555966667,"","",higher,1498,0,0,0,0.883333333333333
MET290,1.81_367.3194m/z,367.3194204,1.807666667,"","",higher,1498,0,0,0,0.883333333333333
MET524,2.78_810.6019m/z,810.6018736,2.780666667,PC027,[PC 38:4] 18:0-20:4 PC,lower,1498,0,0,0,0.883333333333333
MET590,2.96_822.6428m/z,822.6428394,2.960133333,"","",higher,1498,0,0,0,0.883333333333333
MET632,3.13_754.5754m/z,754.5753915,3.13155,"","",higher,1498,0,0,0,0.879049072991533
MET836,5.33_808.7785m/z,808.7785484,5.333966667,"","",higher,1498,0,0,0,0.879049072991533
MET862,5.69_846.8079n,864.8417069,5.693016667,"","",higher,1498,0,0,0,0.879049072991533
MET863,5.69_890.8587m/z,890.8587179,5.685033333,"","",higher,1498,0,0,0,0.879049072991533
MET675,3.36_774.6383m/z,774.638339,3.355066667,"","",higher,1498,0,0,0,0.866666666666667
MET059,0.32_274.2758m/z,274.2757703,0.32365,FFA010,C16:0  hexadecanoic (palmitic) acid,lower,1498,0,0,0,0.783333333333333
