met_id,feature,neutral_mass,mz,rt_min,compound_name,display_label,lipid_class,annotation_level,annotation_source,mass_error_ppm,QI_score,QI_fragmentation_score,reportable_putative,trajectory_direction,average_post_log2FC,average_post_fdr
MET862,5.69_846.8079n,846.8078814,864.8417069,5.693016667,"",MET862,Unassigned,Unassigned feature,No database assignment,,,,FALSE,higher,3.19832909399112,0.00000000000000256570804746406
MET483,2.66_551.5051m/z,,551.5051399,2.66105,DG P-14:0/18:1(9Z),MET483 (putative DG P-14:0/18:1(9Z)),Glycerolipid candidate,Putative LMSD candidate from m/z-adduct search,LIPID MAPS LMSD m/z-adduct search (5 ppm),3.26379551118305,,,TRUE,higher,2.54475138284314,0.00000000000000589570056651193
MET612,3.04_796.6230m/z,,796.6230276,3.036233333,"",MET612,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),2.00847821939111,,,FALSE,higher,2.49615297638977,0.00000000000000589570056651193
MET706,3.47_786.6622n,786.6621784,787.6694549,3.474416667,SM d18:1/22:0,MET706 (putative SM d18:1/22:0),Sphingomyelin,Putative QI annotation,Progenesis QI report,0.862377801548276,37.6,0,TRUE,higher,2.59059380527634,0.00000000000000808764944790551
MET119,1.37_464.3723n,464.3722849,487.3607773,1.37255,"",MET119,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-1.59558450628403,0.0000000000000115614180721537
MET367,2.25_730.5386m/z,,730.5385884,2.254233333,PC 32:2,MET367 (putative PC 32:2),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,0.684426542196878,37.9,0,TRUE,lower,-1.35015568863827,0.0000000000000142209148262438
MET397,2.35_756.5550m/z,,756.5550327,2.350233333,PC 32:0,MET397 (putative PC 32:0),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,4.89058936901842,36.3,0,TRUE,lower,-1.78000821521116,0.0000000000000344708181339647
MET535,2.82_731.6056m/z,,731.605616,2.8167,SM d18:1/18:0,MET535 (putative SM d18:1/18:0),Sphingomyelin,Putative QI annotation,Progenesis QI report,0.683428324038453,36.3,0,TRUE,higher,3.27768874471399,0.0000000000000631540471227429
MET502,2.72_767.5812n,767.5811738,768.5884502,2.7245,PCe 36:4,MET502 (putative PCe 36:4),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,0.910760498440808,36.3,0,TRUE,higher,0.911436455358855,0.0000000000111021361415349
MET081,0.83_522.3575m/z,,522.3575382,0.825983333,LPC 18:1,MET081 (putative LPC 18:1),Lysophosphatidylcholine,Putative QI annotation,Progenesis QI report,4.0202348897585,35.9,0,TRUE,lower,-2.09130553417192,0.0000000000224268402790704
MET489,2.67_775.5480m/z,,775.54798,2.665066667,PG 18:0/18:2,MET489 (putative PG 18:0/18:2),Phosphatidylglycerol,Putative QI annotation,Progenesis QI report,0.5157643502598,32.3,0,TRUE,lower,-1.25883224617473,0.0000000000224268402790704
MET488,2.67_716.5498m/z,,716.5497941,2.669083333,"",MET488,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-1.04982486748638,0.0000000000224268402790704
MET368,2.25_752.5228m/z,,752.5228166,2.254233333,PC 32:2,MET368 (putative PC 32:2),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,3.58793107722496,36.5,0,TRUE,lower,-4.71543962201103,0.0000000000236152607834097
MET096,0.98_446.2872n,446.2872374,485.3243881,0.977466667,"",MET096,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-4.41098490584477,0.0000000000542117404392396
MET107,1.12_388.3192n,388.3192196,411.3082142,1.116916667,"",MET107,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-1.48069601490129,0.0000000000612303463314534
MET290,1.81_367.3194m/z,,367.3194204,1.807666667,"",MET290,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),3.26691139470174,,,FALSE,higher,1.45327501275321,0.0000000000987331648987933
MET863,5.69_890.8587m/z,,890.8587179,5.685033333,"",MET863,Unassigned,Unassigned feature,No database assignment,,,,FALSE,higher,3.25922997281086,0.000000000103544520372237
MET075,0.75_496.3417m/z,,496.3416763,0.753983333,LPC 16:0,MET075 (putative LPC 16:0),Lysophosphatidylcholine,Putative QI annotation,Progenesis QI report,3.82800818614232,36.7,0,TRUE,lower,-1.2742644566972,0.000000000227974333656495
