category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,association,GeneRatio_numeric
Organismal Systems,Endocrine system,mmu04918,Thyroid hormone synthesis,1/4,5/619,0.2,30.95,5.41856538927878,0.0319975026616702,0.153214831424227,0.120959077440179,14725,1,Negative,0.25
Environmental Information Processing,Signal transduction,mmu04340,Hedgehog signaling pathway,1/4,6/619,0.166666666666667,25.7916666666667,4.91742548051423,0.0383037078560567,0.153214831424227,0.120959077440179,14725,1,Negative,0.25
Human Diseases,Cardiovascular disease,mmu05418,Fluid shear stress and atherosclerosis,1/4,16/619,0.0625,9.671875,2.83205067257157,0.099684917981566,0.195513375775172,0.154352665085662,11898,1,Negative,0.25
Environmental Information Processing,Signal transduction,mmu04350,TGF-beta signaling pathway,1/4,19/619,0.0526315789473684,8.14473684210526,2.54902495894706,0.117512449102899,0.195513375775172,0.154352665085662,68010,1,Negative,0.25
Environmental Information Processing,Signal transduction,mmu04371,Apelin signaling pathway,1/4,20/619,0.05,7.7375,2.46823803353463,0.123395699442213,0.195513375775172,0.154352665085662,30878,1,Negative,0.25
Environmental Information Processing,Signal transduction,mmu04310,Wnt signaling pathway,1/4,24/619,0.0416666666666667,6.44791666666667,2.19363450682313,0.146635031831379,0.195513375775172,0.154352665085662,68010,1,Negative,0.25
Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction,1/4,39/619,0.0256410256410256,3.96794871794872,1.54298382965426,0.229690580455218,0.262503520520249,0.207239621463354,30878,1,Negative,0.25
Metabolism,Global and overview maps,mmu01100,Metabolic pathways,1/4,85/619,0.0117647058823529,1.82058823529412,0.656373132869053,0.446994285496183,0.446994285496183,0.352890225391723,11898,1,Negative,0.25
,,mmu04820,Cytoskeleton in muscle cells,36/82,77/619,0.467532467532468,3.52929996832436,9.26104679795669,0.00000000000000302962471352442,0.000000000000354466091482357,0.000000000000344420493748039,11474/98660/13179/68802/17883/17929/56642/21952/17996/59006/21916/93677/12715/13009/17907/21953/17930/17882/24053/242702/233199/53311/320502/22138/11472/140781/17879/17884/381485/380698/21957/17901/58522/21955/59011/21924,36,Positive,0.439024390243902
Cellular Processes,Cell motility,mmu04814,Motor proteins,13/82,25/619,0.52,3.92536585365854,5.83003269783892,0.0000021751301079189,0.000127245111313256,0.00012363897455539,17883/21952/17907/21953/17882/216459/140781/17879/17884/21957/17901/21955/21924,13,Positive,0.158536585365854
Organismal Systems,Circulatory system,mmu04260,Cardiac muscle contraction,8/82,14/619,0.571428571428571,4.31358885017422,4.89664897096227,0.000105805471666342,0.00412641339498733,0.00400947050525085,98660/12295/12292/12373/11937/15464/140781/21924,8,Positive,0.0975609756097561
Organismal Systems,Circulatory system,mmu04261,Adrenergic signaling in cardiomyocytes,9/82,21/619,0.428571428571429,3.23519163763066,4.06900140897065,0.000631945392956913,0.0184844027439897,0.0179605532735123,98660/12295/64082/12322/12292/11937/20272/140781/21924,9,Positive,0.109756097560976
Human Diseases,Cardiovascular disease,mmu05412,Arrhythmogenic right ventricular cardiomyopathy,7/82,22/619,0.318181818181818,2.40188470066519,2.61427031708942,0.017873371411195,0.418236891021963,0.406384023665065,11474/12295/12292/11937/24053/11472/12391,7,Positive,0.0853658536585366
Human Diseases,Cardiovascular disease,mmu05414,Dilated cardiomyopathy,8/82,28/619,0.285714285714286,2.15679442508711,2.44599453902486,0.0223815787034687,0.428258365608195,0.416121488850068,12295/12292/11937/24053/22138/140781/12391/21924,8,Positive,0.0975609756097561
Human Diseases,Cardiovascular disease,mmu05410,Hypertrophic cardiomyopathy,8/82,29/619,0.275862068965517,2.08242220353238,2.33122239383957,0.0276123047306053,0.428258365608195,0.416121488850068,12295/12292/11937/24053/22138/140781/12391/21924,8,Positive,0.0975609756097561
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,6/82,19/619,0.315789473684211,2.38382541720154,2.39219456503938,0.0292826232894493,0.428258365608195,0.416121488850068,12295/12322/12292/20190/216459/238564,6,Positive,0.0731707317073171
Organismal Systems,Digestive system,mmu04971,Gastric acid secretion,4/82,11/619,0.363636363636364,2.7450110864745,2.28011506645739,0.0454426900798574,0.590754971038146,0.574012927324514,98660/12322/208890/238564,4,Positive,0.0487804878048781
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,9/82,39/619,0.230769230769231,1.74202626641651,1.86918206996979,0.0588604823196133,0.688667643139476,0.669150746370341,11541/12322/12292/12373/20190/11937/15464/238564/21924,9,Positive,0.109756097560976
Environmental Information Processing,Signal transduction,mmu04022,cGMP-PKG signaling pathway,6/82,23/619,0.260869565217391,1.96924708377519,1.84964895745732,0.0702823478373136,0.747548608815063,0.726363020710992,98660/12292/11937/11539/238564/140781,6,Positive,0.0731707317073171
Organismal Systems,Endocrine system,mmu04925,Aldosterone synthesis and secretion,3/82,9/619,0.333333333333333,2.51626016260163,1.78913900063809,0.10409074898339,0.986770973506695,0.958805804217032,98660/12322/12292,3,Positive,0.0365853658536585
Organismal Systems,Endocrine system,mmu04919,Thyroid hormone signaling pathway,3/82,10/619,0.3,2.26463414634146,1.57423759076059,0.134943039112027,0.986770973506695,0.958805804217032,98660/11937/140781,3,Positive,0.0365853658536585
Metabolism,Amino acid metabolism,mmu00350,Tyrosine metabolism,2/82,5/619,0.4,3.01951219512195,1.77035889565258,0.13278717663755,0.986770973506695,0.958805804217032,67689/621603,2,Positive,0.024390243902439
Metabolism,Metabolism of other amino acids,mmu00410,beta-Alanine metabolism,2/82,5/619,0.4,3.01951219512195,1.77035889565258,0.13278717663755,0.986770973506695,0.958805804217032,67689/621603,2,Positive,0.024390243902439
Organismal Systems,Endocrine system,mmu04912,GnRH signaling pathway,2/82,5/619,0.4,3.01951219512195,1.77035889565258,0.13278717663755,0.986770973506695,0.958805804217032,12322/12292,2,Positive,0.024390243902439
Metabolism,Global and overview maps,mmu01100,Metabolic pathways,8/82,85/619,0.0941176470588235,0.710473457675753,-1.12212500217229,0.90687953162453,0.991634628038037,0.963531622385137,19215/67689/12715/234515/215446/12180/93961/621603,8,Positive,0.0975609756097561
